n;Sparse LU;
100;117;
1099;754;
2098;1250;
3097;1974;
4096;2849;
5095;3616;
6094;4401;
7093;5224;
8092;6043;
9091;6817;
10090;7630;
11089;8490;
12088;9245;
13087;10179;
14086;10926;
15085;11732;
16084;12781;
17083;13451;
18082;14766;
19081;15253;
20080;15020;
21079;15867;
22078;17395;
23077;18864;
24076;18642;
25075;19425;
26074;21126;
27073;21122;
28072;23133;
29071;22927;
30070;23382;
31069;23577;
32068;25088;
33067;25614;
34066;27006;
35065;25025;
36064;28665;
37063;28029;
38062;29197;
39061;29910;
40060;30932;
41059;31308;
42058;33024;
43057;31137;
44056;32134;
45055;34198;
46054;34313;
47053;33993;
48052;34733;
49051;33951;
50050;37384;
51049;37733;
52048;38599;
53047;38366;
54046;40916;
55045;41519;
56044;41969;
57043;41103;
58042;43634;
59041;43581;
60040;44939;
61039;45552;
62038;45219;
63037;45856;
64036;40487;
65035;42513;
66034;41438;
67033;45837;
68032;45061;
69031;46868;
70030;47410;
71029;48076;
72028;49447;
73027;49822;
74026;49604;
75025;49644;
76024;51850;
77023;51404;
78022;54453;
79021;54286;
80020;59300;
81019;58897;
82018;60146;
83017;60472;
84016;61258;
85015;63839;
86014;64376;
87013;65036;
88012;63585;
89011;63635;
90010;63818;
91009;64561;
92008;64939;
93007;66054;
94006;67114;
95005;69685;
96004;69651;
97003;68939;
98002;64017;
99001;68272;

