N;Error
2;0.961515
3;0.646228
4;0.828889
5;0.459976
6;0.638618
7;0.31119
8;0.459583
9;0.204682
10;0.319075
11;0.132195
12;0.217688
13;0.0843936
14;0.147308
15;0.0535077
16;0.0993088
17;0.0367119
18;0.0668355
19;0.0257168
20;0.0449458
21;0.0177375
22;0.0302147
23;0.0120893
24;0.0203084
25;0.00816524
26;0.013649
27;0.00547629
28;0.009173
29;0.00365203
30;0.00616472
31;0.00242553
32;0.00414296
33;0.00161789
34;0.00278423
35;0.0011016
36;0.0018711
37;0.000747009
38;0.00125744
39;0.000504467
40;0.000845038
41;0.0003398
42;0.000567888
43;0.000228203
44;0.000381635
45;0.000152895
46;0.000256467
47;0.000102277
48;0.000172351
49;6.83504e-05
50;0.000115823
51;4.62156e-05
52;7.78345e-05
53;3.11896e-05
54;5.23057e-05
55;2.10234e-05
56;3.51499e-05
57;1.41408e-05
58;2.36209e-05
59;9.50644e-06
60;1.58734e-05
61;6.37814e-06
62;1.06669e-05
63;4.27678e-06
64;7.16816e-06
65;2.86538e-06
66;4.81697e-06
67;1.92929e-06
68;3.23698e-06
69;1.30045e-06
70;2.17522e-06
71;8.75463e-07
72;1.46172e-06
73;5.88417e-07
74;9.82256e-07
75;3.95203e-07
76;6.6006e-07
77;2.65759e-07
78;4.43547e-07
79;1.78228e-07
80;2.98054e-07
81;1.19402e-07
82;2.00285e-07
83;8.02322e-08
84;1.34586e-07
85;5.41703e-08
86;9.04379e-08
87;3.63499e-08
88;6.07713e-08
89;2.44828e-08
90;4.08362e-08
91;1.64731e-08
92;2.74404e-08
93;1.1068e-08
94;1.84389e-08
95;7.43168e-09
96;1.23901e-08
97;4.98708e-09
98;8.3256e-09
99;3.3466e-09
100;5.59441e-09
101;2.25389e-09
102;3.75916e-09
103;1.51611e-09
104;2.52596e-09
105;1.01859e-09
106;1.6973e-09
107;6.82992e-10
108;1.14049e-09
109;4.59446e-10
110;7.66339e-10
111;3.09451e-10
112;5.14931e-10
113;2.07465e-10
114;3.46e-10
115;1.39048e-10
116;2.32488e-10
117;9.36619e-11
118;1.56215e-10
119;6.31688e-11
120;1.04965e-10
121;4.23742e-11
122;7.05286e-11
123;2.84587e-11
124;4.73897e-11
125;1.91758e-11
126;3.1842e-11
127;1.28374e-11
128;2.13951e-11
129;8.64982e-12
130;1.43757e-11
131;5.80772e-12
132;9.65917e-12
133;3.90109e-12
134;6.49007e-12
135;2.62409e-12
136;4.36072e-12
137;1.76265e-12
138;2.92998e-12
139;1.18748e-12
140;1.96865e-12
141;7.92081e-13
142;1.32273e-12
143;5.36175e-13
144;8.88737e-13
145;3.59895e-13
146;5.97135e-13
147;2.40979e-13
148;4.01209e-13
149;1.62784e-13
150;2.69567e-13
151;1.09069e-13
152;1.81118e-13
153;7.33148e-14
154;1.21758e-13
155;4.94656e-14
156;8.17637e-14
157;3.31523e-14
158;5.49335e-14
159;2.211e-14
160;3.69083e-14
161;1.49544e-14
162;2.47974e-14
163;1.00764e-14
164;1.66609e-14
165;6.76678e-15
166;1.12097e-14
167;4.54568e-15
168;7.54962e-15
169;3.05094e-15
170;5.07819e-15
171;2.05738e-15
172;3.41085e-15
173;1.38393e-15
174;2.28805e-15
175;9.28619e-16
176;1.5329e-15
177;6.24229e-16
178;1.02988e-15
179;4.18394e-16
180;6.92155e-16
181;2.81296e-16
182;4.6534e-16
183;1.89193e-16
184;3.13768e-16
185;1.26689e-16
186;2.12341e-16
187;8.52725e-17
188;1.42247e-16
189;5.82217e-17
190;9.50845e-17
191;3.89771e-17
192;6.43474e-17
193;2.63732e-17
194;4.39102e-17
195;1.78351e-17
196;2.98698e-17
197;1.22515e-17
198;1.9353e-17
199;8.78204e-18
200;1.40404e-17
201;6.23416e-18
202;9.6494e-18
203;4.44523e-18
204;6.66784e-18
205;3.63208e-18
206;4.49944e-18
207;2.81893e-18
208;3.7405e-18
209;2.1684e-18
210;2.6563e-18
211;1.78893e-18
212;2.38524e-18
213;2.11419e-18
214;2.43945e-18
215;1.46367e-18
216;1.57209e-18
217;2.11419e-18
218;1.95156e-18
219;1.35525e-18
220;1.6263e-18
221;2.1684e-18
222;1.30104e-18
223;2.05998e-18
224;2.27682e-18
225;1.78893e-18
226;2.27682e-18
227;2.81893e-18
228;1.78893e-18
229;1.78893e-18
230;1.89735e-18
231;2.05998e-18
232;2.11419e-18
233;2.54788e-18
234;1.84314e-18
235;1.6263e-18
236;1.84314e-18
237;2.1684e-18
238;1.95156e-18
239;1.51788e-18
240;1.6263e-18
241;1.57209e-18
242;2.27682e-18
243;1.57209e-18
244;1.84314e-18
245;2.00577e-18
246;2.49366e-18
247;2.38524e-18
248;2.1684e-18
249;2.33103e-18
250;1.95156e-18
251;1.89735e-18
252;2.22261e-18
253;2.60209e-18
254;1.57209e-18
255;1.68051e-18
